lot,lat,axis,uf,value
-43757,-21606,Bias Fortes,MG,532
-43059,-21725,Bicas,MG,5136
-45502,-18783,Biquinhas,MG,8172
-45566,-21.09,Boa Esperança,MG,8311
-44395,-22168,Bocaina de Minas,MG,6384
-43815,-17108,Bocaiúva,MG,7602
-45252,-19736,Bom Despacho,MG,9306
-44191,-21947,Bom Jardim de Minas,MG,3363
-46523,-21017,Bom Jesus da Penha,MG,720
-43474,-19704,Bom Jesus do Amparo,MG,9707
-42316,-19829,Bom Jesus do Galho,MG,6482
-46145,-22471,Bom Repouso,MG,9876
-44758,-21033,Bom Sucesso,MG,160
-44239,-20327,Bonfim,MG,8500
-45.99,-16567,Bonfinópolis de Minas,MG,6160
-44754,-15323,Bonito de Minas,MG,9345
-46165,-22274,Borda da Mata,MG,5249
-46395,-21633,Botelhos,MG,9682
-43011,-16872,Botumirim,MG,5617
-43242,-20921,Brás Pires,MG,8683
-46009,-17.01,Brasilândia de Minas,MG,4418
-44429,-16208,Brasília de Minas,MG,4864
-45608,-22474,Brasópolis,MG,2897
-42716,-19056,Braúnas,MG,1231
-44.2,-20143,Brumadinho,MG,1781
-46351,-22441,Bueno Brandão,MG,5632
-44.18,-17873,Buenópolis,MG,6403
-42244,-19426,Bugre,MG,9559
-46423,-15618,Buritis,MG,8954
-44962,-17351,Buritizeiro,MG,595
-47091,-16.03,Cabeceira Grande,MG,6890
-46396,-21472,Cabo Verde,MG,3568
-44454,-19525,Cachoeira da Prata,MG,8128
-45779,-22355,Cachoeira de Minas,MG,4988
-41498,-15966,Cachoeira de Pajeú,MG,3854
-49501,-18515,Cachoeira Dourada,MG,1987
-44419,-19295,Caetanópolis,MG,7056
-43.67,-19.88,Caeté,MG,5608
-41925,-20696,Caiana,MG,4824
-42797,-20791,Cajuri,MG,5078
-46386,-21924,Caldas,MG,4455
-45157,-20625,Camacho,MG,2013
-46145,-22755,Camanducaia,MG,1400
-46058,-22612,Cambuí,MG,8946
-45296,-21852,Cambuquira,MG,7218
-41748,-18239,Campanário,MG,8510
-45401,-21836,Campanha,MG,9568
-46246,-21711,Campestre,MG,9089
-49486,-19536,Campina Verde,MG,6478
-44811,-16504,Campo Azul,MG,3608
-45277,-20897,Campo Belo,MG,2820
-45.83,-21107,Campo do Meio,MG,5032
-48572,-19761,Campo Florido,MG,7095
-46171,-19696,Campos Altos,MG,1536
-45759,-21235,Campos Gerais,MG,133
-45182,-21021,Cana Verde,MG,8335
-42.62,-20686,Canaã,MG,4394
-49204,-18725,Canápolis,MG,5844
-45276,-20767,Candeias,MG,5799
-42627,-18526,Cantagalo,MG,7538
-41868,-20434,Caparaó,MG,7122
-43618,-20923,Capela Nova,MG,3647
-42516,-17691,Capelinha,MG,1177
-47054,-20616,Capetinga,MG,9468
-44117,-19549,Capim Branco,MG,3685
-49.57,-18682,Capinópolis,MG,7469
-41858,-19067,Capitão Andrade,MG,5303
-43711,-16324,Capitão Enéas,MG,9740
-46.05,-20615,Capitólio,MG,2068
-42271,-20172,Caputira,MG,3014
-41695,-17189,Caraí,MG,4757
-43739,-20876,Caranaíba,MG,9662
-43806,-20954,Carandaí,MG,1785
-42029,-20733,Carangola,MG,8585
-42139,-19.79,Caratinga,MG,8722
-43016,-17527,Carbonita,MG,4604
-45699,-22043,Careaçu,MG,2237
-40766,-17703,Carlos Chagas,MG,1549
-43142,-19089,Carmésia,MG,7099
-45224,-21461,Carmo da Cachoeira,MG,7576
-44871,-20558,Carmo da Mata,MG,2324
-45129,-22122,Carmo de Minas,MG,46
-44771,-20184,Carmo do Cajuru,MG,6096
-46316,-19001,Carmo do Paranaíba,MG,4284
-46119,-20972,Carmo do Rio Claro,MG,3186
-44635,-20541,Carmópolis de Minas,MG,9472
-50688,-19698,Carneirinho,MG,7050
-44643,-21488,Carrancas,MG,1308
-45841,-21778,Carvalhópolis,MG,642
-44461,-22001,Carvalhos,MG,1777
-43.93,-20793,Casa Grande,MG,5048
-47877,-18576,Cascalho Rico,MG,1306
-46922,-20583,Cássia,MG,9116
-42697,-21389,Cataguases,MG,7526
-43408,-20075,Catas Altas,MG,9797
-43498,-20.69,Catas Altas da Noruega,MG,5618
-41517,-17312,Catuji,MG,4212
-42963,-15358,Catuti,MG,842
-44933,-21977,Caxambu,MG,9850
-45711,-19148,Cedro do Abaeté,MG,9910
-41306,-18762,Central de Minas,MG,1768
-49199,-18584,Centralina,MG,3553
-43222,-21672,Chácara,MG,7979
-41688,-20044,Chalé,MG,8694
-42535,-17087,Chapada do Norte,MG,9981
-45618,-15306,Chapada Gaúcha,MG,3532
-43058,-22003,Chiador,MG,7659
-43366,-20905,Cipotânea,MG,6374
-47267,-20399,Claraval,MG,7735
-44209,-17.08,Claro dos Poções,MG,8318
-44766,-20443,Cláudio,MG,7916
-42803,-20857,Coimbra,MG,2721
-42.84,-18234,Coluna,MG,9850
-49081,-19698,Comendador Gomes,MG,3474
-41793,-16296,Comercinho,MG,6030
-46204,-21094,Conceição da Aparecida,MG,4232
-44472,-21129,Conceição da Barra de Minas,MG,6733
-48388,-19915,Conceição das Alagoas,MG,6916
-45455,-22.16,Conceição das Pedras,MG,8398
-41694,-19928,Conceição de Ipanema,MG,2833
-43425,-19037,Conceição do Mato Dentro,MG,1991
-44897,-19753,Conceição do Pará,MG,9365
-45085,-21881,Conceição do Rio Verde,MG,475
-45798,-22413,Conceição dos Ouros,MG,3234
-44418,-15294,Cônego Marinho,MG,6518
-43983,-19633,Confins,MG,542
-46039,-22153,Congonhal,MG,8069
-43858,-20.5,Congonhas,MG,8028
-43681,-18807,Congonhas do Norte,MG,1380
-47542,-19937,Conquista,MG,2762
-43786,-20.66,Conselheiro Lafaiete,MG,4549
-41472,-19172,Conselheiro Pena,MG,3888
-45921,-22551,Consolação,MG,4417
-44054,-19932,Contagem,MG,7975
-45441,-21189,Coqueiral,MG,6555
-44365,-16685,Coração de Jesus,MG,4951
-44321,-19125,Cordisburgo,MG,1261
-45701,-21793,Cordislândia,MG,8142
-44456,-18381,Corinto,MG,2712
-42286,-18622,Coroaci,MG,9431
-47.2,-18473,Coromandel,MG,689
-42629,-19519,Coronel Fabriciano,MG,5039
-42182,-16619,Coronel Murta,MG,1453
-43266,-21588,Coronel Pacheco,MG,2511
-44223,-21024,Coronel Xavier Chaves,MG,4853
-45904,-19824,Córrego Danta,MG,9459
-46.02,-22.63,Córrego do Bom Jesus,MG,988
-45555,-20449,Córrego Fundo,MG,2144
-42396,-19832,Córrego Novo,MG,4376
-43471,-18071,Couto de Magalhães de Minas,MG,7239
-40912,-17237,Crisólita,MG,7901
-45519,-20876,Cristais,MG,9970
-42862,-16.8,Cristália,MG,931
-43806,-20832,Cristiano Otoni,MG,8578
-45264,-22212,Cristina,MG,7287
-44337,-20384,Crucilândia,MG,1882
-46674,-18946,Cruzeiro da Fortaleza,MG,5753
-44808,-21839,Cruzília,MG,4209
-41099,-18969,Cuparaque,MG,3022
-41844,-15938,Curral de Dentro,MG,6000
-44431,-18756,Curvelo,MG,7989
-43656,-18446,Datas,MG,2324
-45.28,-22509,Delfim Moreira,MG,9907
-46854,-20344,Delfinópolis,MG,5877
-47771,-19977,Delta,MG,8176
-42968,-21.46,Descoberto,MG,2542
-44333,-20.66,Desterro de Entre Rios,MG,8728
-43518,-21147,Desterro do Melo,MG,1219
-43.6,-18249,Diamantina,MG,7137
-43198,-20488,Diogo de Vasconcelos,MG,7708
-42777,-19843,Dionísio,MG,6273
-43004,-20.99,Divinésia,MG,7537
-42149,-20614,Divino,MG,5616
-41.48,-18778,Divino das Laranjeiras,MG,3960
-42598,-18804,Divinolândia de Minas,MG,4390
-44884,-20139,Divinópolis,MG,3967
-41345,-15726,Divisa Alegre,MG,8907
-46196,-21511,Divisa Nova,MG,8238
-41,-15726,Divisópolis,MG,9529
-46271,-16652,Dom Bosco,MG,5307
-42106,-19374,Dom Cavati,MG,9312
-43256,-18967,Dom Joaquim,MG,9462
-42968,-20.16,Dom Silvério,MG,7457
-45161,-22254,Dom Viçoso,MG,7576
-42811,-21316,Dona Eusébia,MG,9123
-44023,-21109,Dores de Campos,MG,3583
-42929,-19058,Dores de Guanhães,MG,6627
-45602,-19463,Dores do Indaiá,MG,5731
-43189,-20976,Dores do Turvo,MG,5068
-45903,-20287,Doresópolis,MG,7786
-47609,-18431,Douradoquara,MG,9522
-41798,-20203,Durandé,MG,6432
-45565,-21.61,Elói Mendes,MG,7333
-42046,-19219,Engenheiro Caldas,MG,2033
-43.95,-17.28,Engenheiro Navarro,MG,6259
-42231,-19625,Entre Folhas,MG,356
-44066,-20671,Entre Rios de Minas,MG,9776
-42657,-20.84,Ervália,MG,5282
-44314,-19763,Esmeraldas,MG,8915
-41907,-20.65,Espera Feliz,MG,328
-42819,-14926,Espinosa,MG,6829
-45951,-22046,Espírito Santo do Dourado,MG,1367
-46017,-22463,Estiva,MG,8619
-42461,-21742,Estrela Dalva,MG,3958
-45788,-19522,Estrela do Indaiá,MG,9083
-47693,-18746,Estrela do Sul,MG,2497
-42187,-21099,Eugenópolis,MG,9811
-43.51,-21551,Ewbank da Câmara,MG,752
-46318,-22855,Extrema,MG,2328
-45829,-21406,Fama,MG,9979
-42.03,-20808,Faria Lemos,MG,8115
-43247,-18077,Felício dos Santos,MG,9468
-40761,-16639,Felisburgo,MG,5235
-44899,-18758,Felixlândia,MG,8604
-42082,-19154,Fernandes Tourinho,MG,7241
-43023,-19232,Ferros,MG,4465
-42279,-20726,Fervedouro,MG,5980
-44433,-19889,Florestal,MG,3491
-45426,-20464,Formiga,MG,6776
-46232,-14947,Formoso,MG,5626
-46718,-20849,Fortaleza de Minas,MG,10
-44447,-19561,Fortuna de Minas,MG,4197
-42352,-16993,Francisco Badaró,MG,5952
-44234,-17315,Francisco Dumont,MG,5721
-43488,-16476,Francisco Sá,MG,2202
-42009,-17.96,Franciscópolis,MG,2879
-41429,-18066,Frei Gaspar,MG,7793
-41922,-18545,Frei Inocêncio,MG,8409
-42766,-18168,Frei Lagonegro,MG,2832
-49199,-20268,Fronteira,MG,4866
-40925,-16891,Fronteira dos Vales,MG,5488
-42533,-16131,Fruta de Leite,MG,7781
-48941,-20025,Frutal,MG,1859
-44056,-19368,Funilândia,MG,5227
-41538,-18999,Galiléia,MG,4383
-43124,-15082,Gameleiras,MG,4349
-43697,-16.85,Glaucilândia,MG,5251
-41223,-18982,Goiabeira,MG,8971
-43202,-21537,Goianá,MG,1350
-45856,-22659,Gonçalves,MG,382
-42479,-18822,Gonzaga,MG,6418
-43741,-18454,Gouveia,MG,812
-41949,-18851,Governador Valadares,MG,2074
-42.89,-16559,Grão Mogol,MG,5006
-47722,-18494,Grupiara,MG,1813
-42933,-18775,Guanhães,MG,9183
-45918,-20762,Guapé,MG,4080
-43008,-20571,Guaraciaba,MG,9301
-43673,-17014,Guaraciama,MG,6922
-46803,-21299,Guaranésia,MG,9677
-43047,-21352,Guarani,MG,5238
-43038,-21732,Guarará,MG,807
-47098,-17771,Guarda-Mor,MG,737
-46713,-21305,Guaxupé,MG,5197
-42797,-21152,Guidoval,MG,144
-46793,-18844,Guimarânia,MG,9706
-42718,-21008,Guiricema,MG,6826
-49786,-19213,Gurinhatã,MG,6403
-45542,-22067,Heliodora,MG,587
-42218,-19437,Iapu,MG,548
-43963,-21.43,Ibertioga,MG,6426
-46539,-19478,Ibiá,MG,5713
-44914,-16861,Ibiaí,MG,7066
-44164,-15664,Ibiracatu,MG,4032
-47122,-20462,Ibiraci,MG,3732
-44059,-20022,Ibirité,MG,475
-46.44,-22061,Ibitiúra de Minas,MG,4019
-44748,-21153,Ibituruna,MG,6395
-44906,-16217,Icaraí de Minas,MG,6931
-44302,-20.07,Igarapé,MG,7174
-44709,-19955,Igaratinga,MG,2887
-45711,-20174,Iguatama,MG,932
-44925,-21.17,Ijaci,MG,7246
-45833,-20936,Ilicínea,MG,6106
-41971,-19597,Imbé de Minas,MG,742
-46328,-22317,Inconfidentes,MG,2669
-42197,-15492,Indaiabira,MG,6723
-47917,-19039,Indianópolis,MG,8033
-44917,-21401,Ingaí,MG,3458
-42.12,-19549,Inhapim,MG,9561
-44.39,-19491,Inhaúma,MG,4601
-44361,-18729,Inimutaba,MG,5224
-42419,-19414,Ipaba,MG,7004
-41713,-19801,Ipanema,MG,4232
-42537,-19468,Ipatinga,MG,9367
-49943,-18692,Ipiaçu,MG,6175
-46.19,-22099,Ipuiúna,MG,6253
-47461,-18984,Iraí de Minas,MG,1488
-43227,-19619,Itabira,MG,8644
-41233,-18566,Itabirinha de Mantena,MG,6743
-43801,-20253,Itabirito,MG,3387
-43309,-17065,Itacambira,MG,2269
-44092,-15102,Itacarambi,MG,4685
-44488,-20392,Itaguara,MG,3955
-41669,-17402,Itaipé,MG,9378
-45453,-22426,Itajubá,MG,1323
-42859,-17857,Itamarandiba,MG,1488
-42818,-21416,Itamarati de Minas,MG,3888
-41685,-18031,Itambacuri,MG,8466
-43321,-19414,Itambé do Mato Dentro,MG,2655
-47048,-21078,Itamogi,MG,2200
-44.87,-22284,Itamonte,MG,9895
-44935,-22296,Itanhandu,MG,609
-41865,-19172,Itanhomi,MG,4729
-41503,-16562,Itaobim,MG,6434
-49381,-19909,Itapagipe,MG,10000
-45126,-20473,Itapecerica,MG,1668
-46221,-22768,Itapeva,MG,5411
-44421,-20197,Itatiaiuçu,MG,3316
-46752,-20739,Itaú de Minas,MG,7208
-44576,-20075,Itaúna,MG,5303
-43.61,-20678,Itaverava,MG,9006
-41765,-16613,Itinga,MG,2192
-41.17,-19394,Itueta,MG,4065
-49465,-18969,Ituiutaba,MG,9499
-44871,-21317,Itumirim,MG,1697
-50196,-19728,Iturama,MG,1684
-44658,-21298,Itutinga,MG,7539
-43745,-19514,Jaboticatubas,MG,4334
-40293,-16144,Jacinto,MG,2456
-46741,-21017,Jacuí,MG,8625
-46612,-22286,Jacutinga,MG,7259
-42.75,-19649,Jaguaraçu,MG,7082
-43674,-15338,Jaíba,MG,7149
-41804,-18463,Jampruca,MG,4027
-43309,-15803,Janaúba,MG,8789
-44362,-15488,Januária,MG,4005
-45503,-20141,Japaraíba,MG,6155
-44.27,-15995,Japonvar,MG,6104
-43983,-20535,Jeceaba,MG,635
-42258,-17083,Jenipapo de Minas,MG,7370
-42666,-20456,Jequeri,MG,539
-44446,-17236,Jequitaí,MG,4056
-44028,-19236,Jequitibá,MG,6055
-41003,-16434,Jequitinhonha,MG,8021
-45291,-21998,Jesuânia,MG,1892
-41031,-16654,Joaíma,MG,1180
-42679,-19172,Joanésia,MG,2180
-43174,-19.81,João Monlevade,MG,5736
-46173,-17743,João Pinheiro,MG,9017
-44172,-17758,Joaquim Felício,MG,3268
-40178,-15.9,Jordânia,MG,6106
-42604,-16907,José Gonçalves de Minas,MG,2704
-42499,-18219,José Raydan,MG,2490
-42515,-16547,Josenópolis,MG,3594
-44343,-19952,Juatuba,MG,5068
-43.35,-21764,Juiz de Fora,MG,9631
-43587,-16848,Juramento,MG,303
-46577,-21253,Juruaia,MG,3292
-44.16,-14263,Juvenília,MG,6831
-41738,-17632,Ladainha,MG,2119
-46808,-18178,Lagamar,MG,3835
-45544,-20023,Lagoa da Prata,MG,8290
-44582,-16983,Lagoa dos Patos,MG,8534
-44078,-20914,Lagoa Dourada,MG,3603
-46408,-18779,Lagoa Formosa,MG,4073
-46514,-17835,Lagoa Grande,MG,2329
-43.89,-19627,Lagoa Santa,MG,3455
-41623,-20151,Lajinha,MG,4300
-45.35,-21976,Lambari,MG,4436
-43474,-20.79,Lamim,MG,2316
-42477,-21374,Laranjal,MG,5467
-44578,-17887,Lassance,MG,1902
-45,-21245,Lavras,MG,1701
-45025,-19718,Leandro Ferreira,MG,2832
-42693,-17083,Leme do Prado,MG,8090
-42643,-21532,Leopoldina,MG,7928
-44.32,-22029,Liberdade,MG,1582
-43793,-21843,Lima Duarte,MG,4425
-50581,-19551,Limeira do Oeste,MG,9965
-44305,-15903,Lontra,MG,844
-42103,-20.44,Luisburgo,MG,5370
-44589,-16118,Luislândia,MG,8703
-44903,-21511,Luminárias,MG,9751
-45686,-19801,Luz,MG,7864
-40716,-17077,Machacalis,MG,7833
-45.92,-21675,Machado,MG,7869
-44.33,-21483,Madre de Deus de Minas,MG,3848
-42077,-17842,Malacacheta,MG,414
-42949,-15.05,Mamonas,MG,7244
-43932,-14756,Manga,MG,1969
-42034,-20258,Manhuaçu,MG,6965
-41958,-20358,Manhumirim,MG,4605
-40.98,-18782,Mantena,MG,502
-43.01,-21867,Mar de Espanha,MG,8606
-44676,-19516,Maravilhas,MG,3958
-45375,-22308,Maria da Fé,MG,3064
-43416,-20378,Mariana,MG,2817
-42084,-18508,Marilac,MG,3841
-44188,-20056,Mário Campos,MG,467
-42959,-21698,Maripá de Minas,MG,4960
-42732,-19712,Marliéria,MG,1154
-45165,-22449,Marmelópolis,MG,1869
-45237,-19332,Martinho Campos,MG,9796
-41877,-20257,Martins Soares,MG,3798
-40741,-15686,Mata Verde,MG,6970
-43.06,-18474,Materlândia,MG,5935
-44428,-19986,Mateus Leme,MG,9073
-41908,-18592,Mathias Lobato,MG,3570
-43319,-21869,Matias Barbosa,MG,5561
-43922,-14855,Matias Cardoso,MG,8889
-42341,-20284,Matipó,MG,67
-42866,-15397,Mato Verde,MG,1053
-44081,-19558,Matozinhos,MG,7055
-45969,-19223,Matutina,MG,1637
-46226,-19996,Medeiros,MG,3511
-41477,-16223,Medina,MG,9946
-41405,-18661,Mendes Pimentel,MG,7819
-43341,-21194,Mercês,MG,311
-42607,-19223,Mesquita,MG,4101
-42.59,-17219,Minas Novas,MG,3843
-44604,-21682,Minduri,MG,9749
-44164,-16263,Mirabela,MG,9106
-42343,-20891,Miradouro,MG,1191
-42614,-21195,Miraí,MG,9242
-44404,-14741,Miravânia,MG,3544
-44053,-20333,Moeda,MG,7210
-45411,-19843,Moema,MG,1782
-44119,-18325,Monjolos,MG,9534
-45541,-21758,Monsenhor Paulo,MG,8126
-44366,-14423,Montalvânia,MG,7085
-48881,-18871,Monte Alegre de Minas,MG,7682
-42875,-15155,Monte Azul,MG,8890
-46368,-21326,Monte Belo,MG,9790
-47499,-18725,Monte Carmelo,MG,7484
-41255,-16866,Monte Formoso,MG,6624
-46.98,-21.19,Monte Santo de Minas,MG,9861
-46573,-22433,Monte Sião,MG,6514
-43862,-16735,Montes Claros,MG,8702
-42497,-15172,Montezuma,MG,3176
-45357,-18604,Morada Nova de Minas,MG,1356
-44603,-18547,Morro da Garça,MG,957
-43376,-19216,Morro do Pilar,MG,8506
-46361,-22613,Munhoz,MG,9857
-42366,-21131,Muriaé,MG,7135
-41438,-19.8,Mutum,MG,3109
-46526,-21376,Muzambinho,MG,4973
-42249,-18459,Nacip Raydan,MG,5778
-40354,-17839,Nanuque,MG,5647
-42328,-19.23,Naque,MG,8958
-46493,-16504,Natalândia,MG,5330
-45512,-22.12,Natércia,MG,2656
-44611,-21216,Nazareno,MG,1276
-45236,-21236,Nepomuceno,MG,1146
-41754,-15321,Ninheira,MG,8565
-41017,-18475,Nova Belém,MG,2045
-43038,-19.75,Nova Era,MG,5595
-43847,-19986,Nova Lima,MG,835
-41501,-18437,Nova Módica,MG,3290
-47683,-19136,Nova Ponte,MG,1889
-43301,-15803,Nova Porteirinha,MG,893
-46.42,-21126,Nova Resende,MG,2280
-44984,-19876,Nova Serrana,MG,1518
-43.58,-19.69,Nova União,MG,5887
-41875,-17468,Novo Cruzeiro,MG,1688
-41215,-17415,Novo Oriente de Minas,MG,7910
-42408,-16017,Novorizonte,MG,898
-43937,-21861,Olaria,MG,1102
-43573,-17397,Olhos-d'Água,MG,1962
-45264,-22068,Olímpio Noronha,MG,7171
-44827,-20696,Oliveira,MG,3541
-43456,-21339,Oliveira Fortes,MG,8494
-44807,-19.73,Onça de Pitangui,MG,6664
-42806,-20431,Oratórios,MG,7665
-42.21,-20506,Orizânia,MG,3804
-43692,-20521,Ouro Branco,MG,2228
-46369,-22283,Ouro Fino,MG,6056
-43508,-20288,Ouro Preto,MG,4377
-41.27,-18071,Ouro Verde de Minas,MG,466
-42515,-16364,Padre Carvalho,MG,5242
-41524,-17072,Padre Paraíso,MG,9939
-43065,-15517,Pai Pedro,MG,2978
-45532,-18908,Paineiras,MG,1402
-45661,-20371,Pains,MG,2806
-43416,-21289,Paiva,MG,4126
-42314,-21375,Palma,MG,4798
-40.42,-16735,Palmópolis,MG,2926
-44748,-19449,Papagaios,MG,2114
-44608,-19.86,Pará de Minas,MG,9855
-46875,-17222,Paracatu,MG,6673
-45738,-21547,Paraguaçu,MG,2602
-45.78,-22554,Paraisópolis,MG,1484
-44404,-19274,Paraopeba,MG,6840
-44967,-22.39,Passa Quatro,MG,3843
-44496,-20651,Passa Tempo,MG,2078
-44234,-22209,Passa-Vinte,MG,5328
-43136,-19353,Passabém,MG,6189
-46.61,-20719,Passos,MG,5606
-44082,-16076,Patis,MG,4199
-46518,-18579,Patos de Minas,MG,4615
-46993,-18944,Patrocínio,MG,4839
-42215,-21153,Patrocínio do Muriaé,MG,903
-42.98,-20874,Paula Cândido,MG,2449
-42868,-18427,Paulistas,MG,1571
-40999,-17428,Pavão,MG,771
-42557,-18549,Peçanha,MG,8340
-41297,-16005,Pedra Azul,MG,9349
-42.33,-20521,Pedra Bonita,MG,2846
-42714,-20597,Pedra do Anta,MG,3955
-45209,-20258,Pedra do Indaiá,MG,7191
-42154,-20.83,Pedra Dourada,MG,7983
-45466,-22243,Pedralva,MG,7828
-44391,-15607,Pedras de Maria da Cruz,MG,2096
-47462,-19228,Pedrinópolis,MG,9331
-44043,-19618,Pedro Leopoldo,MG,3144
-43746,-21706,Pedro Teixeira,MG,6582
-43121,-21834,Pequeri,MG,2258
-44659,-19633,Pequi,MG,3338
-45084,-19953,Perdigão,MG,3788
-47293,-19353,Perdizes,MG,8046
-45091,-21091,Perdões,MG,4608
-42234,-19158,Periquito,MG,3730
-41598,-18357,Pescador,MG,3270
-43323,-21509,Piau,MG,4291
-42076,-19759,Piedade de Caratinga,MG,156
-42734,-20245,Piedade de Ponte Nova,MG,9768
-44196,-21469,Piedade do Rio Grande,MG,69
-44227,-20471,Piedade dos Gerais,MG,6426
-45799,-20484,Pimenta,MG,9410
-42408,-19727,Pingo-d'Água,MG,1392
-45156,-16059,Pintópolis,MG,4994
-44483,-20508,Piracema,MG,3064
-48701,-19907,Pirajuba,MG,1637
-43.3,-20685,Piranga,MG,2838
-45495,-22528,Piranguçu,MG,4572
-45532,-22401,Piranguinho,MG,6724
-42346,-21656,Pirapetinga,MG,9019
-44942,-17345,Pirapora,MG,7755
-43026,-21276,Piraúba,MG,3672
-44.89,-19683,Pitangui,MG,8825
-45958,-20465,Piumhi,MG,4151
-48702,-20138,Planura,MG,3036
-45965,-21781,Poço Fundo,MG,9629
-46561,-21788,Poços de Caldas,MG,8578
-41637,-19.62,Pocrane,MG,5529
-44935,-19224,Pompéu,MG,1659
-42909,-20416,Ponte Nova,MG,5978
-45066,-16631,Ponto Chique,MG,241
-41504,-16753,Ponto dos Volantes,MG,4778
-43028,-15743,Porteirinha,MG,8634
-43084,-20673,Porto Firme,MG,3106
-41786,-17807,Poté,MG,2206
-45936,-22.23,Pouso Alegre,MG,1667
-44973,-22194,Pouso Alto,MG,1095
-44.08,-21058,Prados,MG,8524
-48924,-19307,Prata,MG,9257
-46861,-20745,Pratápolis,MG,7230
-46378,-19751,Pratinha,MG,4447
-43188,-20769,Presidente Bernardes,MG,5854
-44058,-18637,Presidente Juscelino,MG,6689
-43562,-18614,Presidente Kubitschek,MG,9508
-46418,-18418,Presidente Olegário,MG,1135
-44155,-19482,Prudente de Morais,MG,6576
-45557,-19274,Quartel Geral,MG,7256
-43884,-20.74,Queluzito,MG,9788
-43804,-19967,Raposos,MG,6352
-42453,-20102,Raul Soares,MG,5940
-42469,-21525,Recreio,MG,8907
-41983,-20219,Reduto,MG,4348
-44238,-20922,Resende Costa,MG,5688
-41255,-19326,Resplendor,MG,7722
-43763,-21063,Ressaquinha,MG,6125
-45992,-16.23,Riachinho,MG,7041
-43049,-16006,Riacho dos Machados,MG,819
-44087,-19767,Ribeirão das Neves,MG,720
-45062,-21191,Ribeirão Vermelho,MG,1757
-43789,-20088,Rio Acima,MG,2955
-42651,-20226,Rio Casca,MG,7549
-40.57,-16608,Rio do Prado,MG,3230
-42907,-20242,Rio Doce,MG,6601
-43474,-20855,Rio Espera,MG,1832
-44308,-20265,Rio Manso,MG,2551
-43125,-21458,Rio Novo,MG,5157
-46247,-19194,Rio Paranaíba,MG,6758
-42.54,-15.61,Rio Pardo de Minas,MG,1586
-43174,-19929,Rio Piracicaba,MG,4517
-43179,-21275,Rio Pomba,MG,4786
-43828,-22089,Rio Preto,MG,3436
-43009,-18294,Rio Vermelho,MG,4890
-44318,-21022,Ritápolis,MG,3496
-43.02,-21.63,Rochedo de Minas,MG,1799
-42865,-21.2,Rodeiro,MG,7830
-47586,-18883,Romaria,MG,4094
-42512,-20979,Rosário da Limeira,MG,1473
-42263,-16408,Rubelita,MG,8261
-40538,-16375,Rubim,MG,6809
-43807,-19886,Sabará,MG,93
-43084,-18666,Sabinópolis,MG,3979
-47.44,-19865,Sacramento,MG,2066
-42.29,-16.17,Salinas,MG,1566
-39947,-16003,Salto da Divisa,MG,4512
-43415,-19959,Santa Bárbara,MG,5082
-42.14,-19978,Santa Bárbara do Leste,MG,5500
-43702,-21959,Santa Bárbara do Monte Verde,MG,9720
-43559,-21246,Santa Bárbara do Tugúrio,MG,4840
-44223,-21.12,Santa Cruz de Minas,MG,3010
-41746,-16098,Santa Cruz de Salinas,MG,4123
-42814,-20236,Santa Cruz do Escalvado,MG,5241
-42448,-18827,Santa Efigênia de Minas,MG,3823
-45414,-16.69,Santa Fé de Minas,MG,8116
-40686,-16983,Santa Helena de Minas,MG,2930
-47525,-19309,Santa Juliana,MG,9832
-43851,-19.77,Santa Luzia,MG,2499
-42251,-20384,Santa Margarida,MG,3631
-43113,-19449,Santa Maria de Itabira,MG,7065
-40149,-16249,Santa Maria do Salto,MG,7711
-42414,-18.19,Santa Maria do Suaçuí,MG,1897
-46337,-22029,Santa Rita de Caldas,MG,1408
-43915,-21563,Santa Rita de Ibitipoca,MG,1327
-44095,-22149,Santa Rita de Jacutinga,MG,3422
-42132,-19875,Santa Rita de Minas,MG,3292
-41.38,-19.36,Santa Rita do Itueto,MG,8785
-45703,-22252,Santa Rita do Sapucaí,MG,5818
-45966,-19.53,Santa Rosa da Serra,MG,8156
-50121,-18839,Santa Vitória,MG,5278
-45507,-21249,Santana da Vargem,MG,4473
-42557,-21287,Santana de Cataguases,MG,4177
-44043,-19006,Santana de Pirapama,MG,44
-43166,-21.95,Santana do Deserto,MG,2414
-44104,-21601,Santana do Garambéu,MG,7970
-45131,-20898,Santana do Jacaré,MG,7248
-41925,-20108,Santana do Manhuaçu,MG,3334
-42569,-19364,Santana do Paraíso,MG,7495
-43714,-19169,Santana do Riacho,MG,4939
-43692,-20788,Santana dos Montes,MG,8186
-44919,-20946,Santo Antônio do Amparo,MG,4513
-42816,-21758,Santo Antônio do Aventureiro,MG,4805
-42609,-20314,Santo Antônio do Grama,MG,7599
-43307,-18466,Santo Antônio do Itambé,MG,6358
-40176,-16534,Santo Antônio do Jacinto,MG,4800
-45294,-20087,Santo Antônio do Monte,MG,4772
-42624,-15339,Santo Antônio do Retiro,MG,2922
-43254,-19228,Santo Antônio do Rio Abaixo,MG,7317
-44223,-18297,Santo Hipólito,MG,1482
-43553,-21457,Santos Dumont,MG,521
-45076,-21582,São Bento Abade,MG,9936
-43949,-20625,São Brás do Suaçuí,MG,278
-42011,-19527,São Domingos das Dores,MG,6478
-42968,-19865,São Domingos do Prata,MG,5516
